n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,n_topics_before,n_topics_after,n_topics_force,outlier_ratio_before,outlier_ratio_after,topic_coverage_before,topic_coverage,topic_coverage_force,ratio_topic_0,ratio_topic_1,ratio_topic_0_force,ratio_topic_1_force,outlier_reduction_success,coherence_before,diversity_before,coherence_after,diversity_after,coherence_force,diversity_force,coherence,diversity,time_seconds,combined
10,20,120,10,0.2,13,13,13,0.3391410333539077,0.04308506066832824,0.6608589666460923,0.9569149393316717,1.0,0.91833410161652,0.015223726668281364,0.9536647107999782,0.01597377940636451,True,0.6513601076982835,1.0,0.5691969015970857,0.9923076923076923,0.4982683286192582,0.9846153846153847,0.5691969015970857,0.9923076923076923,808.389257,0.780752296952389
10,20,120,30,0.0,59,59,59,0.8963247415833926,0.5216421467134408,0.10367525841660742,0.4783578532865592,1.0,0.00945378971958966,0.0066489050011328925,0.012465720245954794,0.011668789211741451,True,0.6896731450870732,0.9423728813559322,0.5987475975295026,0.8813559322033898,0.47245898678805365,0.8542372881355932,0.5987475975295026,0.8813559322033898,918.057915,0.7400517648664462
10,20,120,30,0.2,26,26,26,0.6529326280754115,0.21429631770983898,0.3470673719245885,0.7857036822901611,1.0,0.5537225273652053,0.043428834839949686,0.6664413904102632,0.04957379815768296,True,0.6654541740959891,1.0,0.5108600368987256,0.9538461538461539,0.43487106294745187,0.9769230769230769,0.5108600368987256,0.9538461538461539,843.80792,0.7323530953724398
10,20,120,55,0.0,57,57,57,0.8767139877022603,0.5477728902813479,0.12328601229773968,0.4522271097186521,1.0,0.03093186239657476,0.009383472275394364,0.03520169386910017,0.011946152463845115,True,0.6877514637953264,0.9368421052631579,0.6077034642551815,0.8824561403508772,0.4884371888138729,0.8789473684210526,0.6077034642551815,0.8824561403508772,929.67871,0.7450798023030294
10,20,120,55,0.2,35,35,35,0.7267542249064387,0.40919674039580906,0.27324577509356124,0.5908032596041909,1.0,0.15221382753474855,0.19502933800032815,0.1854544460157355,0.2941847473650491,True,0.6602295285771661,0.9914285714285714,0.5151643750713178,0.96,0.4097445696500717,0.9542857142857143,0.5151643750713178,0.96,875.148142,0.737582187535659
10,20,120,80,0.0,51,51,51,0.8779211038276129,0.4905383972310553,0.12207889617238712,0.5094616027689447,1.0,0.03449070637779219,0.01243837457321218,0.03752607605222242,0.01577845317248869,True,0.6946335909535545,0.9490196078431372,0.5920054574954717,0.8980392156862745,0.4475802489606049,0.8921568627450981,0.5920054574954717,0.8980392156862745,933.230262,0.7450223365908731
10,20,120,80,0.2,37,37,37,0.744927377706245,0.39164472501972797,0.25507262229375505,0.6083552749802721,1.0,0.1168285270058051,0.06126602651748951,0.14265456164886595,0.08639279324327492,True,0.6604475844179392,0.9837837837837838,0.4583604468181524,0.972972972972973,0.38579562959807745,0.9621621621621622,0.4583604468181524,0.972972972972973,888.54816,0.7156667098955627
10,20,120,105,0.0,49,49,49,0.8842145150830918,0.4194982459704198,0.11578548491690822,0.5805017540295802,1.0,0.03451023900117977,0.010907016899625754,0.037533889101577456,0.013352501347751013,True,0.6978911483818346,0.9510204081632653,0.5600309978777898,0.9061224489795918,0.4919745612614086,0.8918367346938776,0.5600309978777898,0.9061224489795918,940.521478,0.7330767234286908
10,20,120,105,0.2,39,39,39,0.793079200881312,0.3518255189818034,0.20692079911868802,0.6481744810181966,1.0,0.0825995577814065,0.03470947175973311,0.09186974084115289,0.037533889101577456,True,0.6830318189387139,0.9769230769230769,0.5473092703237303,0.9512820512820512,0.44594817282280164,0.9487179487179487,0.5473092703237303,0.9512820512820512,912.333949,0.7492956608028908
10,20,140,10,0.0,65,65,65,0.8923127407395832,0.598217843442117,0.10768725926041675,0.40178215655788296,1.0,0.009379565750716847,0.005887132689017196,0.014219749826159651,0.007582564399059309,True,0.6778521802762492,0.9353846153846154,0.6035209975113633,0.8584615384615385,0.4849074869434857,0.8646153846153846,0.6035209975113633,0.8584615384615385,910.274122,0.730991267986451
