topic,period,p_value,odds_ratio,ci_lower,ci_upper,rate_difference,count_chart_topic,count_nochart_topic,total_chart,total_nochart,p_adjusted,significant,direction
11,1990-1994,0.6364395590863146,0.7899771092217135,0.42796406884560234,1.6103314340587904,-0.0015442383100138053,9,120,1538,16225,0.926988053451806,False,neutral
12,1990-1994,0.45988538655470007,1.3480917726792956,0.6353961429060295,3.2845090284272143,0.0010044060984088755,6,47,1538,16225,0.7165656023061606,False,neutral
13,1990-1994,0.002618907488106761,0.5925188921212539,0.42241045443217684,0.85451750638389,-0.014229233330862127,33,579,1538,16225,0.025066685957593284,True,underrepresented
14,1990-1994,0.30430894794080593,1.3351727943712492,0.7652656342852716,2.4997876241328543,0.0019471789148454858,12,95,1538,16225,0.5825342717724,False,neutral
15,1990-1994,0.26968158845366713,1.204686506261706,0.8725531776535916,1.7001748667314003,0.004217391565697753,39,343,1538,16225,0.5314313654822264,False,neutral
16,1990-1994,0.1496170514526629,0.6532528041415013,0.389223966412643,1.1760092033922818,-0.004428820171475171,13,209,1538,16225,0.45565192942401883,False,neutral
17,1990-1994,0.049133387566348205,0.4679344502365133,0.23971248013885973,1.0413277387057356,-0.005125059860022722,7,157,1538,16225,0.23513835478180928,False,neutral
18,1990-1994,0.4083703625662082,1.0765752765752765,0.9057057840604082,1.2864144176860859,0.006379725936270869,152,1500,1538,16225,0.7165656023061606,False,neutral
19,1990-1994,0.0007907331795335134,1.6500422803496118,1.2578230479785575,2.1943259502600423,0.014755961457158257,59,383,1538,16225,0.008829853838124234,True,overrepresented
20,1990-1994,0.1430879146632999,0.4623121337593306,0.20041721964370632,1.3342126184124767,-0.003007848425405896,4,91,1538,16225,0.45565192942401883,False,neutral
21,1990-1994,0.003987495285038655,0.0,0.004676233366023559,1.220601197935274,-0.004252696456086286,0,69,1538,16225,0.02968468712195443,True,underrepresented
22,1990-1994,0.10772079644451799,1.2854430432223134,0.9606725282170705,1.7498978767086404,0.006898078668592874,49,405,1538,16225,0.41168623594390075,False,neutral
23,1990-1994,0.7027816026446215,1.110608552631579,0.3620629912540566,5.050565379733651,0.0001293577595620752,2,19,1538,16225,0.9809659870247843,False,neutral
24,1990-1994,0.13543324832334974,1.3679128391369366,0.936487466419875,2.059344715181771,0.004831039450510038,28,217,1538,16225,0.4537013818832217,False,neutral
25,1990-1994,0.22564291998995026,1.3031196016664972,0.8686363165746164,2.0256119204872145,0.0035861914198296475,24,195,1538,16225,0.5039358546442222,False,neutral
26,1990-1994,0.007720758384044605,1.5622726729393281,1.1532397979081794,2.1544605766611915,0.010556122152516324,46,314,1538,16225,0.047026437430089864,True,overrepresented
27,1990-1994,0.41131468553028816,0.5849992756772417,0.25177712633654664,1.6956344383063344,-0.0018368160679328605,4,72,1538,16225,0.7165656023061606,False,neutral
28,1990-1994,0.1730478437240982,0.34503073770491804,0.12062419410360754,1.5161940322615428,-0.0024592400832730557,2,61,1538,16225,0.4764056578883097,False,neutral
29,1990-1994,0.23758496180692518,1.4682409831297265,0.7995766390792673,2.9298465433071255,0.0020643542831724707,10,72,1538,16225,0.5134900787439995,False,neutral
30,1990-1994,0.2234896250333489,1.4628740844087897,0.8520192124269063,2.678425759113268,0.0026590072553353064,13,94,1538,16225,0.5039358546442222,False,neutral
31,1990-1994,0.0005847035658697928,1.61513607650532,1.2509566589073906,2.1105267059569446,0.01613625844301827,67,445,1538,16225,0.007835027782655223,True,overrepresented
32,1990-1994,0.4398608864655439,1.2328849518810148,0.7353983782714311,2.1975198654746753,0.0017067369825739705,14,120,1538,16225,0.7165656023061606,False,neutral
33,1990-1994,0.36100610910564945,0.3192366081110388,0.09178602275930685,2.4227796380369644,-0.0013837032465671905,1,33,1538,16225,0.6718724808355143,False,neutral
34,1990-1994,0.7655542439355305,0.6388888888888888,0.2173354631400281,2.8459186950374327,-0.0007335081880496352,2,33,1538,16225,1.0,False,neutral
35,1990-1994,5.28160088582578e-05,0.4760388609594377,0.32920029660238154,0.7124646381145806,-0.01862346993774558,27,587,1538,16225,0.0011795575311677577,True,underrepresented
