n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,min_df,max_df,cluster_selection_method,n_topics_before,outlier_ratio_before,topic_coverage_before,coherence_before,diversity_before,n_topics_after,outlier_ratio_after,topic_coverage,ratio_topic_0,ratio_topic_1,coherence,diversity,n_topics_force,topic_coverage_force,ratio_topic_0_force,ratio_topic_1_force,coherence_force,diversity_force,time_seconds
30,5,150,10,0,1,0.5,leaf,101,0.758858044706268,0.241141955293732,0.63082573737707,0.979207920792079,101,0.758858044706268,0.241141955293732,0.0645475072466033,0.0119461524638451,0.63082573737707,0.979207920792079,101,0.241141955293732,0.0645475072466033,0.0119461524638451,0.63082573737707,0.979207920792079,607.413414
30,5,100,80,0,1,0.5,leaf,108,0.776937440913814,0.223062559086186,0.680452488158104,0.97037037037037,108,0.776937440913814,0.223062559086186,0.0604495628598886,0.0173019977967201,0.680452488158104,0.97037037037037,108,0.223062559086186,0.0604495628598886,0.0173019977967201,0.680452488158104,0.97037037037037,633.520605
60,5,100,40,0,1,0.5,leaf,109,0.796333335937683,0.203666664062317,0.678097016794251,0.968807339449541,109,0.796333335937683,0.203666664062317,0.0543710104616731,0.0112000062504395,0.678097016794251,0.968807339449541,109,0.203666664062317,0.0543710104616731,0.0112000062504395,0.678097016794251,0.968807339449541,852.607697
10,5,150,80,0,1,0.5,leaf,113,0.772585572423061,0.227414427576939,0.639018386662971,0.969026548672566,113,0.772585572423061,0.227414427576939,0.0120828808275582,0.0110085865412412,0.639018386662971,0.969026548672566,113,0.227414427576939,0.0120828808275582,0.0110085865412412,0.639018386662971,0.969026548672566,469.527235
30,5,100,40,0,1,0.5,leaf,121,0.754904641732622,0.245095358267378,0.658854192768327,0.969421487603306,121,0.754904641732622,0.245095358267378,0.0605276933534389,0.0178996960723801,0.658854192768327,0.969421487603306,121,0.245095358267378,0.0605276933534389,0.0178996960723801,0.658854192768327,0.969421487603306,630.307085
60,5,100,10,0,1,0.5,leaf,122,0.799251509871788,0.200748490128212,0.672697879844237,0.968852459016394,122,0.799251509871788,0.200748490128212,0.051601284465314,0.0091061090232907,0.672697879844237,0.968852459016394,122,0.200748490128212,0.051601284465314,0.0091061090232907,0.672697879844237,0.968852459016394,854.976202
10,5,150,40,0,1,0.5,leaf,124,0.760604261237118,0.239395738762882,0.63386224113083,0.975806451612903,124,0.760604261237118,0.239395738762882,0.0113601737622177,0.00934831355329672,0.63386224113083,0.975806451612903,124,0.239395738762882,0.0113601737622177,0.00934831355329672,0.63386224113083,0.975806451612903,467.544454
10,5,150,10,0,1,0.5,leaf,143,0.746642342039675,0.253357657960325,0.601617903373265,0.961538461538462,143,0.746642342039675,0.253357657960325,0.0103288512473533,0.00971943339766077,0.601617903373265,0.961538461538462,143,0.253357657960325,0.0103288512473533,0.00971943339766077,0.601617903373265,0.961538461538462,468.040612
30,5,100,10,0,1,0.5,leaf,143,0.828452781836223,0.171547218163777,0.659703488165708,0.964335664335664,143,0.828452781836223,0.171547218163777,0.00652780273612988,0.00498472548851091,0.659703488165708,0.964335664335664,143,0.171547218163777,0.00652780273612988,0.00498472548851091,0.659703488165708,0.964335664335664,632.408078
10,5,100,80,0,1,0.5,leaf,159,0.771929276277238,0.228070723722762,0.659626145824566,0.963522012578616,159,0.771929276277238,0.228070723722762,0.0110085865412412,0.0060082349540202,0.659626145824566,0.963522012578616,159,0.228070723722762,0.0110085865412412,0.0060082349540202,0.659626145824566,0.963522012578616,494.046521
