n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,min_df,max_df,cluster_selection_method,n_topics_before,outlier_ratio_before,topic_coverage_before,coherence_before,diversity_before,n_topics_after,outlier_ratio_after,topic_coverage,ratio_topic_0,ratio_topic_1,coherence,diversity,time_seconds
90,5,250,40,0,1,0.5,leaf,41,0.794435918469878,0.205564081530122,0.536815363999999,0.990243902439024,41,0.116721682098463,0.883278317901537,0.0728911950450786,0.0396660609081668,0.365944528569023,0.985365853658537,1188.91367
90,5,350,150,0,1,0.5,leaf,27,0.75308210709758,0.246917892902421,0.536108031723329,0.996296296296296,27,0.11849578258634,0.88150421741366,0.0729068950493961,0.0669251934044282,0.464298847470656,0.996296296296296,1189.273969
90,5,350,10,0,1,0.5,leaf,36,0.805021646380953,0.194978353619047,0.524024571469218,0.988888888888889,36,0.11881370767377,0.88118629232623,0.0728794200418405,0.0360315099086652,0.445696967244633,0.986111111111111,1189.223015
30,5,350,150,0,1,0.5,leaf,36,0.743187179376474,0.256812820623526,0.540898986026324,0.991666666666667,36,0.121600458440126,0.878399541559874,0.0705989944147235,0.0669801434195394,0.416824298075684,0.991666666666667,798.573725
50,5,350,250,0,1,0.5,leaf,27,0.75125698159567,0.24874301840433,0.531225961144037,0.988888888888889,27,0.122542458699176,0.877457541300824,0.0705244193942153,0.0733621951746037,0.403718240519272,0.996296296296296,956.549242
70,5,350,80,0,1,0.5,leaf,31,0.783524415469214,0.216475584530786,0.496642192694551,0.990322580645161,31,0.123005608826542,0.876994391173458,0.0732012701303493,0.0436303119983358,0.463202842163,0.983870967741936,1056.354941
70,5,350,40,0,1,0.5,leaf,31,0.765685285563454,0.234314714436546,0.485471483698855,0.990322580645161,31,0.143407764437135,0.856592235562865,0.0734053701864768,0.0870918489502585,0.410736983301606,0.983870967741936,1050.675935
70,5,350,150,0,1,0.5,leaf,28,0.786581991310048,0.213418008689952,0.501873203551518,0.992857142857143,28,0.145248589943362,0.854751410056638,0.0732365951400637,0.0872449239923541,0.491172946310974,0.989285714285714,1059.950877
70,5,350,10,0,1,0.5,leaf,36,0.779034214234409,0.220965785765591,0.472072577254677,0.994444444444445,36,0.157522068318569,0.842477931681431,0.0745946455135275,0.0476966131165686,0.354120753156338,0.972222222222222,1047.341444
90,5,250,10,0,1,0.5,leaf,48,0.798780894664746,0.201219105335254,0.572423395332919,0.995833333333333,48,0.16021461905902,0.83978538094098,0.0719256447795523,0.0350306346334245,0.393865809356301,0.966666666666667,1187.666797
90,5,350,80,0,1,0.5,leaf,29,0.805838046605463,0.194161953394537,0.522357330708637,0.993103448275862,29,0.160438344120545,0.839561655879455,0.0727302700008243,0.039815210949183,0.428756309919232,0.989655172413793,1183.749339
50,5,250,80,0,1,0.5,leaf,47,0.787217841484906,0.212782158515094,0.575950643871978,0.987234042553192,47,0.165301420457891,0.834698579542109,0.0743669954509238,0.0343830094553276,0.39339973388234,0.978723404255319,950.806594
30,5,350,10,0,1,0.5,leaf,47,0.769712336670893,0.230287663329107,0.464881066078249,0.993617021276596,47,0.176256098470427,0.823743901529573,0.0654572430007418,0.0375544103274628,0.382232346987257,0.980851063829787,793.722665
50,5,350,150,0,1,0.5,leaf,31,0.749106081004172,0.250893918995828,0.542428787747117,0.993548387096774,31,0.17988279946777,0.82011720053223,0.0728244700267293,0.0676905686149064,0.442133575833612,0.993548387096774,947.579842
70,5,250,10,0,1,0.5,leaf,50,0.79844334457192,0.20155665542808,0.539462376988628,0.992,50,0.185550501026388,0.814449498973612,0.0648292428280418,0.0309447085097948,0.355562322399527,0.978,1064.016257
50,5,250,40,0,1,0.5,leaf,51,0.793823618301495,0.206176381698505,0.549154145763922,0.986274509803922,51,0.190036777260114,0.809963222739886,0.0658340431043619,0.0381039104785754,0.358557712054064,0.97843137254902,950.635697
30,5,250,150,0,1,0.5,leaf,48,0.777589813837199,0.222410186162801,0.553064169694166,0.991666666666667,48,0.197007579177084,0.802992420822916,0.0698061441966897,0.0380254104569879,0.370365588273635,0.983333333333333,810.885144
50,5,250,10,0,1,0.5,leaf,58,0.784843215831884,0.215156784168116,0.579629073685435,0.989655172413793,58,0.209430207593307,0.790569792406693,0.0678161686494464,0.0317846587407812,0.351032825243097,0.977586206896552,953.274586
30,5,350,80,0,1,0.5,leaf,42,0.78147556490578,0.21852443509422,0.523599391325502,0.992857142857143,42,0.22323443638947,0.77676556361053,0.0690172189797352,0.0371540602173666,0.362654877538963,0.985714285714286,802.594275
30,5,350,40,0,1,0.5,leaf,47,0.763137959862939,0.236862040137061,0.515996492332642,0.991489361702128,47,0.235409789737692,0.764590210262308,0.0662029932058231,0.0374798353069547,0.363443222660778,0.976595744680851,798.617217
90,5,350,40,0,1,0.5,leaf,29,0.80522574643708,0.19477425356292,0.493557212000645,0.993103448275862,29,0.238671465634653,0.761328534365347,0.0709561695129466,0.0387122856458786,0.436480873951705,0.986206896551724,1176.035799
90,5,350,250,0,1,0.5,leaf,22,0.743218579385109,0.256781420614891,0.612940910262214,0.995454545454546,22,0.257801920895528,0.742198079104472,0.0719923697979017,0.0655749930331231,0.534158725659694,0.995454545454546,1199.266033
70,5,150,80,0,1,0.5,leaf,66,0.816616099569427,0.183383900430573,0.666543310112462,0.978787878787879,66,0.258151245991593,0.741848754008407,0.0679574686883039,0.0241191316327612,0.48803501544445,0.945454545454545,1088.682219
30,5,250,10,0,1,0.5,leaf,61,0.765430160493294,0.234569839506706,0.556586315101919,0.991803278688525,61,0.281053627289748,0.718946372710253,0.0640324676089286,0.0315648586803361,0.403901834775792,0.975409836065574,804.085149
30,5,250,80,0,1,0.5,leaf,52,0.779929114480507,0.220070885519494,0.554461556251041,0.992307692307692,52,0.307264784497816,0.692735215502184,0.0679221436785895,0.0278518076592471,0.424813223977526,0.988461538461539,808.194457
70,5,350,250,0,1,0.5,leaf,25,0.736966052665665,0.263033947334336,0.570052658651505,0.992,25,0.315880161867045,0.684119838132956,0.070771694462216,0.0644838427330568,0.428937980419903,0.992,1073.64095
30,5,250,40,0,1,0.5,leaf,55,0.764562735254752,0.235437264745248,0.550731508385735,0.990909090909091,55,0.31923996279099,0.68076003720901,0.0656456430525518,0.0316865337137968,0.432177611228932,0.978181818181818,802.127561
90,5,150,80,0,1,0.5,leaf,64,0.818841575181433,0.181158424818567,0.670868707209281,0.9765625,64,0.319777687938864,0.680222312061136,0.0672509684940163,0.0246961067914294,0.492410438586423,0.94375,1219.258801
90,5,150,40,0,1,0.5,leaf,72,0.814700699042692,0.185299300957308,0.667407128172402,0.977777777777778,72,0.323926414079764,0.676073585920236,0.0662657932230931,0.023039756335933,0.4992594816756,0.940277777777778,1224.526876
50,5,150,80,0,1,0.5,leaf,70,0.800350895096496,0.199649104903504,0.665495116813853,0.981428571428571,70,0.342452419174415,0.657547580825585,0.0672941435058895,0.0272395074908646,0.48681590930952,0.942857142857143,975.16267
90,5,150,10,0,1,0.5,leaf,76,0.822417251164744,0.177582748835256,0.671374053682884,0.976315789473684,76,0.356036847910133,0.643963152089867,0.0628274922775604,0.00843482731957751,0.49652034481963,0.939473684210526,1227.168974
70,5,150,40,0,1,0.5,leaf,71,0.813727298775007,0.186272701224993,0.666156704123864,0.977464788732394,71,0.382287255128995,0.617712744871005,0.0644877677341361,0.0190087802274146,0.489577749719841,0.946478873239437,1092.506102
70,5,150,10,0,1,0.5,leaf,81,0.802364420650216,0.197635579349784,0.663217780236299,0.980246913580247,81,0.387260231496564,0.612739768503436,0.0615714919321603,0.00813652723754499,0.457414818737378,0.946913580246914,1097.926523
30,5,150,40,0,1,0.5,leaf,92,0.768452411324413,0.231547588675587,0.662176365406909,0.979347826086957,92,0.39872123464834,0.601278765351661,0.0637263175247373,0.024974781868065,0.520838962065492,0.952173913043478,857.231822
30,5,150,80,0,1,0.5,leaf,86,0.782602040215561,0.217397959784439,0.652432883969415,0.980232558139535,86,0.404243711167021,0.595756288832979,0.0655278930201706,0.0235539314773312,0.506769838156962,0.954651162790698,845.879654
30,5,150,10,0,1,0.5,leaf,104,0.773582387735157,0.226417612264843,0.652991918622727,0.973076923076923,104,0.406563386804931,0.593436613195069,0.0591065912543126,0.0189106552004302,0.481371596787035,0.944230769230769,863.611518
50,5,150,40,0,1,0.5,leaf,74,0.806159896693972,0.193840103306028,0.674343650470325,0.97972972972973,74,0.419555140377664,0.580444859622336,0.0653041679586462,0.0200253555069728,0.4986633852668,0.951351351351351,975.391887
50,5,150,10,0,1,0.5,leaf,90,0.842057956565938,0.157942043434062,0.670637092272231,0.973333333333333,90,0.429249893043721,0.570750106956279,0.0187811301648108,0.00860360236599065,0.474821258787292,0.934444444444444,990.228305
30,5,50,40,0,1,0.5,eom,182,0.684323938189083,0.315676061810917,0.713275641620378,0.964285714285714,182,0.561683354462923,0.438316645537078,0.0695981191394828,0.0526067894668671,0.659066805569199,0.896153846153846,1127.875753
